"toolName","id","category","route","currentStatus","inputType","outputType","processing","implementation","knownProblems","requiredFix","functionTest","uiTest","outputTest","downloadTest","mobileTest","errorHandlingTest","lastTestTime"
"Binary Converter","binary-converter","developer-tools","/tools/binary-converter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Decimal Converter","decimal-converter","developer-tools","/tools/decimal-converter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Hex Converter","hex-converter","developer-tools","/tools/hex-converter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Unix Timestamp Converter","unix-timestamp-converter","developer-tools","/tools/unix-timestamp-converter","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"UUID Generator","uuid-generator","developer-tools","/tools/uuid-generator","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Password Generator","password-generator","developer-tools","/tools/password-generator","PARTIALLY WORKING","Text / code / structured data","Text / code result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Assignment Cover Page Generator","assignment-cover-page-generator","document-tools","/tools/assignment-cover-page-generator","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Student CV Builder","student-cv-builder","document-tools","/tools/student-cv-builder","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Resume Builder","resume-builder","document-tools","/tools/resume-builder","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Cover Letter Generator","cover-letter-generator","document-tools","/tools/cover-letter-generator","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Simple Application Generator","application-generator","document-tools","/tools/application-generator","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Study Timetable Generator","study-timetable-generator","document-tools","/tools/study-timetable-generator","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Project Report Cover Generator","project-report-cover-generator","document-tools","/tools/project-report-cover-generator","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Internship Application","internship-application","document-tools","/tools/internship-application","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Leave Application","leave-application","document-tools","/tools/leave-application","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Scholarship Application","scholarship-application","document-tools","/tools/scholarship-application","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"University Aggregate Calculator","university-aggregate-calculator","university-tools","/tools/university-aggregate-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Merit Calculator","merit-calculator","university-tools","/tools/merit-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Semester Calculator","semester-calculator","university-tools","/tools/semester-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Credit Hour Calculator","credit-hour-calculator","university-tools","/tools/credit-hour-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Scholarship Percentage Calculator","scholarship-percentage-calculator","university-tools","/tools/scholarship-percentage-calculator","PARTIALLY WORKING","Form/text input","Calculated/text result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Pomodoro Timer","pomodoro-timer","productivity-tools","/tools/pomodoro-timer","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Stopwatch","stopwatch","productivity-tools","/tools/stopwatch","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Countdown Timer","countdown-timer","productivity-tools","/tools/countdown-timer","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Study Timer","study-timer","productivity-tools","/tools/study-timer","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"To-Do List","todo-list","productivity-tools","/tools/todo-list","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Daily Study Planner","daily-study-planner","productivity-tools","/tools/daily-study-planner","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Random Study Topic Generator","random-study-topic-generator","productivity-tools","/tools/random-study-topic-generator","PARTIALLY WORKING","User entries / time","On-screen/local result","browser","./UtilityTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"PDF to Word","pdf-to-word","pdf-tools","/tools/pdf-to-word","PARTIALLY WORKING","PDF","DOCX","browser","./expanded/ExpandedTool","Conversion is text-extraction based and does not reproduce the source PDF layout/table semantics exactly.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"PDF to Excel","pdf-to-excel","pdf-tools","/tools/pdf-to-excel","PARTIALLY WORKING","PDF","XLSX","browser","./expanded/ExpandedTool","Conversion is text-extraction based and does not reproduce the source PDF layout/table semantics exactly.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"PDF to PowerPoint","pdf-to-powerpoint","pdf-tools","/tools/pdf-to-powerpoint","PARTIALLY WORKING","PDF","PPTX","browser","./expanded/ExpandedTool","Conversion is text-extraction based and does not reproduce the source PDF layout/table semantics exactly.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"PDF to Text","pdf-to-text","pdf-tools","/tools/pdf-to-text","PARTIALLY WORKING","PDF","Text","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"PDF OCR","pdf-ocr","pdf-tools","/tools/pdf-ocr","PARTIALLY WORKING","PDF","Text","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Scanned PDF to Searchable PDF","scanned-pdf-to-searchable-pdf","pdf-tools","/tools/scanned-pdf-to-searchable-pdf","PARTIALLY WORKING","Scanned PDF","Searchable PDF","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Text to PDF","text-to-pdf","document-tools","/tools/text-to-pdf","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./expanded/ExpandedTool","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Markdown to PDF","markdown-to-pdf","document-tools","/tools/markdown-to-pdf","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./expanded/ExpandedTool","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"DOCX Viewer","docx-viewer","document-tools","/tools/docx-viewer","PARTIALLY WORKING","DOCX","Text","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"DOCX Text Extractor","docx-text-extractor","document-tools","/tools/docx-text-extractor","PARTIALLY WORKING","DOCX","Text","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"TXT to DOCX","txt-to-docx","document-tools","/tools/txt-to-docx","PARTIALLY WORKING","Text","DOCX","browser","./expanded/ExpandedTool","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"HTML to DOCX","html-to-docx","document-tools","/tools/html-to-docx","PARTIALLY WORKING","HTML text","DOCX","browser","./expanded/ExpandedTool","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending. Produces a real DOCX but intentionally simplifies advanced HTML/CSS styling.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Markdown to HTML","markdown-to-html","document-tools","/tools/markdown-to-html","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./expanded/ExpandedTool","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Markdown Formatter","markdown-formatter","document-tools","/tools/markdown-formatter","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Document Statistics","document-statistics","document-tools","/tools/document-statistics","PARTIALLY WORKING","Text / document fields","Document / text file","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Find & Replace","find-replace","text-tools","/tools/find-replace","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Whitespace Cleaner","whitespace-cleaner","text-tools","/tools/whitespace-cleaner","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Line Break Cleaner","line-break-cleaner","text-tools","/tools/line-break-cleaner","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Speaking Time Calculator","speaking-time-calculator","text-tools","/tools/speaking-time-calculator","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Alternating Case","alternating-case","text-tools","/tools/alternating-case","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Title Case","title-case","text-tools","/tools/title-case","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Sentence Case","sentence-case","text-tools","/tools/sentence-case","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Extract Emails","extract-emails","text-tools","/tools/extract-emails","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Extract URLs","extract-urls","text-tools","/tools/extract-urls","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Extract Numbers","extract-numbers","text-tools","/tools/extract-numbers","PARTIALLY WORKING","Text","Text / statistics","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Temperature Converter","temperature-converter","converter-tools","/convert/temperature","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Length & Distance Converter","length-converter","converter-tools","/convert/length","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Weight & Mass Converter","weight-converter","converter-tools","/convert/mass","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Area Converter","area-converter","converter-tools","/convert/area","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Volume Converter","volume-converter","converter-tools","/convert/volume","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Time Unit Converter","time-unit-converter","converter-tools","/convert/time","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Speed Converter","speed-converter","converter-tools","/convert/speed","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Data Storage Converter","data-unit-converter","converter-tools","/convert/data-storage","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Pressure Converter","pressure-converter","converter-tools","/convert/pressure","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Energy Converter","energy-converter","converter-tools","/convert/energy","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Power Converter","power-converter","converter-tools","/convert/power","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./converters/ConversionTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"CM to Feet & Inches","cm-to-feet","converter-tools","/tools/cm-to-feet","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"KG to LBS","kg-to-lbs","converter-tools","/tools/kg-to-lbs","PARTIALLY WORKING","Numeric value + units","Converted value","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Date Difference Calculator","date-difference-calculator","date-time-tools","/tools/date-difference-calculator","PARTIALLY WORKING","Date/time input","Date/time result","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Days Between Dates","days-between-dates","date-time-tools","/tools/days-between-dates","PARTIALLY WORKING","Date/time input","Date/time result","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Weeks Between Dates","weeks-between-dates","date-time-tools","/tools/weeks-between-dates","PARTIALLY WORKING","Date/time input","Date/time result","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Months Between Dates","months-between-dates","date-time-tools","/tools/months-between-dates","PARTIALLY WORKING","Date/time input","Date/time result","browser","./expanded/ExpandedTool","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
